Skills,Experience (Years),Job Description,Relevant,Certifications
"Java, C, SQL, Node.js, AWS",6.0,"Hiring Python, SQL Developer",1,Unknown
"Java, C++, C, SQL",14.0,"Hiring Python, SQL Developer",1,Scrum Master
"C, SQL",14.0,"Hiring Python, SQL Developer",1,Unknown
"Java, C, SQL",12.0,"Hiring Python, SQL Developer",1,Scrum Master
"Java, C, SQL",6.0,"Hiring Python, SQL Developer",1,Unknown
"Java, C, SQL, Node.js, AWS",6.0,Hiring UI/UX Developer,1,Unknown
"Java, C++, C, SQL",14.0,Hiring UI/UX Developer,0,Scrum Master
"C, SQL",14.0,Hiring UI/UX Developer,1,Unknown
"Java, C, SQL",12.0,Hiring UI/UX Developer,0,Scrum Master
"Java, C, SQL",2.0,Hiring UI/UX Developer,1,Unknown
"Java, C, SQL, Node.js, AWS",6.0,Hiring UI/UX Developer,1,Unknown
"Java, C++, C, SQL",14.0,Hiring UI/UX Developer,0,Scrum Master
"C, SQL",14.0,Hiring UI/UX Developer,1,Unknown
"Java, C, SQL",12.0,Hiring UI/UX Developer,0,Scrum Master
"Java, C, SQL",5.0,Hiring UI/UX Developer,1,Unknown
"Java, C, SQL, Node.js, AWS",6.0,Hiring UI/UX Developer,1,Unknown
"Java, C++, C, SQL",14.0,Hiring UI/UX Developer,0,Scrum Master
"Java, C, SQL, AWS, Swift",11.0,Hiring UI/UX Developer,1,Unknown
"C, SQL",7.0,Hiring UI/UX Developer,1,Unknown
"Java, C, SQL",8.0,Hiring UI/UX Developer,0,Scrum Master
"Java, Node.js, C, AWS, SQL",6.0,"Hiring HTML, CSS, JS Developer",1,Unknown
"Java, C, C++, SQL",14.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"C, SQL",3.0,"Hiring HTML, CSS, JS Developer",1,Unknown
"C, Node.js, SQL",5.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"Java, C",11.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"Java, Node.js, C, AWS, SQL",6.0,"Hiring HTML, CSS, JS Developer",1,Unknown
"Java, C, C++, SQL",14.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"C, SQL",1.0,"Hiring HTML, CSS, JS Developer",1,Unknown
"C, Node.js, SQL",3.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"Java, C",11.0,"Hiring HTML, CSS, JS Developer",1,Scrum Master
"C, Java",12.0,"Hiring the Java, C,C++ Developer",1,Scrum Master
"C, SQL",8.0,"Hiring the Java, C,C++ Developer",1,Scrum Master
"Node.js, Python, C, AWS, Java, Swift, C++, React, SQL",9.0,"Hiring the Java, C,C++ Developer",1,Unknown
"SQL, C, AWS, Java, React",8.0,"Hiring the Java, C,C++ Developer",1,Unknown
C,2.0,"Hiring the Java, C,C++ Developer",1,"Scrum Master, PMP"
"C, Java, AWS, SQL, Node.js",6.0,Hiring Java Developer,1,Unknown
"C, Python, React, Java, AWS, SQL",8.0,Hiring Java Developer,1,Unknown
"SQL, Java, C",4.0,Hiring Java Developer,1,"Microsoft Certified, Cisco Certified"
"SQL, C",7.0,Hiring Java Developer,0,Scrum Master
"C, Java, AWS, SQL, Docker",8.0,Hiring Java Developer,1,Unknown
